task,solution,link,long_solution
При помощи любых арифметических действий получите число 100 из пяти единиц.,111–11 = 100,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-57,
Какое сходство между деревом и преступником?,Обоих сажают,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-58,
"Два мужика ехали на лошадях. Один говорит другому:
— Дай мне одного коня, у меня будет вдвое больше.
Второй же говорит первому:
— Нет, лучше ты мне дай одного коня, тогда у нас поровну будет.
Сколько лошадей было у каждого мужика?",Пять и семь,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-59,
Перед каким простым смертным даже король снимает шляпу?,Перед парикмахером,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-60,
"Из гнезда вылетели три ласточки. Какова вероятность того, что через 15 секунд они будут находиться в одной плоскости?","100%, т.к. три точки всегда образуют одну плоскость.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-61,
"Если она — кверху дном, то полная, а если — книзу дном, то пустая. Что это?",Шапка,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-62,
Какой элемент шкафа состоит из половины согласной буквы?,Полка (ПолКа),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-63,
"Представьте, что в тазу с водой плавает миска. Как поднять уровень воды в тазу на максимальный уровень — положить камень в воду или положить его в миску?","Если положить камень в миску, он сможет вытеснить объем воды, который больше объема камня. То есть надо положить камень в миску.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-64,
"Меткий стрелок стоит у одного борта парохода, а у противоположного — помещена мишень. Пароход равномерно движется вперед. Стрелок прицелился точно в центр мишени. Попадет ли он в цель?","Конечно, попадет",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-65,
"Через реку нужно было перевезти большую чугунную трубу. Когда груз был положен в лодку, она так осела, что гребец уже не мог в нее сесть. Однако гребец придумал способ, с помощью которого он, сидя в лодке, все-таки перевез трубу на тот берег. Догадайтесь, как он это сделал?","Известно, что вода выталкивает погруженное в нее тело с такой силой, которая равно весу воды, вытесненной таким телом. Трубу укрепили под лодкой, отчего осадка ее уменьшилась.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-66,
"Какой предмет, сделанный человеком ранее ХХ-го века, может двигаться быстрее звука?","Кончик кнута. Характерный щелчок (хлопок) мы слышим именно потому, что кончик преодолевает звуковой барьер.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-67,
В каком городе объединились мужское имя и сторона света?,Владивосток (= Влад + и + восток).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-68,
Половина от половины числа равна половине. Какое это число?,"Это число 2. Половина этого числа равна 1, а половина от половины этого числа (т.е. единицы) равна 0,5, т.е. тоже половине.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-69,
"Корзинка с фруктами весит 11 кг. Фрукты тяжелее корзинки на 10 кг. Сколько весит корзинка, и сколько весят фрукты?","Можно предположить, что фрукты весят 10 кг, а корзинка 1 кг. Но тогда фрукты тяжелее корзинки на 9 кг, а по условию они тяжелее ее на 10 кг. Значит фрукты весят 10,5 кг, а корзинка 0,5 кг.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-70,
"Какая птица яиц не несет, но сама из них вылупляется?",Петух,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-71,
"Где встречается такое, что конь через коня перепрыгивает?",На шахматной доске,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-72,
Ночной сторож умер днем. Дадут ли ему пенсию?,Мертвому не дают пенсию,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-73,
"Какое слово можно записать справа налево, развернуть вверх ногами, отразить зеркально, и оно все равно останется неизменным?",Слово «ОНО»,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-74,
Что своим детям всегда дает отец и никогда не дает мать?,Отчество,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-75,
Что появилось раньше: яйцо или курица?,Яйцо. Яйца откладывали динозавры задолго до появления куриц.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-76,
"Что все разворачивает, но само не двигается?",Зеркало,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-77,
"Где вторник идет раньше, чем понедельник?",В словаре,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-78,
Из каких трех предлогов можно составить название домашнего животного?,К‑о-за,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-79,
Какое слово состоит из трех одинаковых букв?,Трио (три «о»),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-80,
"По порядку он девятый, а его название с латинского языка переводится как «седьмой». О чем речь?",Сентябрь,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-81,
Название какого домашнего животного состоит из двух противоположных по значению предлогов?,Кот (= к + от),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-82,
"Растет дуб, у него двенадцать суков, пятьдесят две ветки, на каждой ветке по семи листьев. Что это?",Год; 12 месяцев; 52 недели; 7 дней,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-83,
"Что в России — на первом месте, а во Франции — на втором?",Буква «р»,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-84,
"Человек, не имеющий заграничного паспорта, в течение одного дня посещает тридцать разных стран. В каждой из них его встречают и провожают, причем каждую страну он покидает по собственной воле. Как такое возможно?","Этот человек — курьер, разносящий обычную почту по посольствам и дипломатическим представительствам. Как известно, территория посольства считается территорией иностранной державы.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-85,
"Она пошла, и ее съели. О чем это?",О пешке,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-86,
Три лягушки сидели на берегу пруда. Одна из них решила прыгнуть в пруд. Сколько лягушек осталось на берегу?,"На берегу остались три лягушки, потому что решение прыгнуть и прыжок — это не одно и то же.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-87,
"Вы участвуете в соревнованиях и обогнали бегуна, занимающего вторую позицию. Какую позицию вы теперь занимаете?","Если вы ответили, что вы теперь первый — то вы не правы. Вы обогнали второго бегуна и заняли его место, так что вы теперь на второй позиции.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-88,
Весь день бык пашет поле. Сколько следов он оставит на пашне?,"Бык не оставит никаких следов, так как все его следы запахивает плуг, который бык тянет за собой.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-89,
"Что делает сторож, когда у него на шапке сидит воробей?",Спит,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-90,
"Что разбивается, но никогда не падает? Что падает, но никогда не разбивается?","Сердце, давление",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-91,
"Если одной бутылке вина требуется 5 лет, чтобы созреть, сколько времени уйдет на созревание 10 бутылок?",5 лет — они все могут зреть одновременно.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-92,
"Умножьте 43 минуты и 21 секунду на 60. Если вам понадобилось больше 10 секунд, чтобы решить эту задачу, значит, это заняло слишком много времени. Почему?","43 часа и 21 минута, так как умножение секунд на 60 дает такое же количество минут, так же из 43 минут получается 43 часа.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-93,
У кого две кожи на ногах?,"У того, кто в сапогах",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-94,
"Два человека вошли в комнату, увидели убийцу и его окровавленную жертву. Они обменялись мнениями по поводу увиденного и спокойно вышли. Почему?",Они посмотрели в Третьяковской галерее картину «Иван Грозный и сын его Иван».,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-95,
В каком слове «нет» употребляется 100 раз?,Стонет (Сто «нет»),https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-96,
"Глухому человеку понадобилось кое-что распилить. Он пошел в лавку, где продавались скобяные изделия. Как объяснил он продавцу, что ему нужна пила?",Он сказал: «Мне нужна пила».,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-97,
Какое слово начинается с трех букв «г» и заканчивается тремя буквами «я»?,Тригонометрия (Три «г»-ономе-три «я»).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-98,
"Есть дорога по которой может проехать только одна машина. По дороге едут две машины: одна с горы, другая под гору. Как им разъехаться?",А зачем им разъезжаться? Они же обе вниз (под гору и с горы) едут,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-99,
Может ли мужчина женится на сестре своей вдовы?,Нет. Мёртвые не женятся,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-100,
Когда дурак выглядит как умный?,Когда молчит,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-101,
"Как называется известный остров, выдающий себя за одежду?",Ямайка,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-102,
"Сидит ребёнок, а вы не можете сесть на его место, даже если он встанет и уйдет. Где он сидит?",Он сидит у вас на коленях,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-103,
"По какому «животному» спокойно ходят люди, и даже проезжают машины?",По зебре,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-104,
"Хоть на нем у компьютера ничего не написано, любой знает — для чего это нужно. Что это?",Пробел на клавиатуре,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-105,
"Мужчина заходит в магазин, покупает колбасу и просит ее порезать, но не поперек, а вдоль. Продавщица спрашивает: «Вы пожарный?» — «Да». Как она догадалась?",Мужчина был в форме,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-106,
"Человек покупал яблоки по 5 рублей за штуку, а потом продавал их по 3 рубля за штуку. Через какое-то время он стал миллионером. Как ему это удалось?",Он был миллиардером.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-107,
Один человек может начисто сбривать бороду десяток раз в день. И все равно он ходит с бородой. Как это возможно?,Он брадобрей,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-108,
"Какая борона глубже разрыхлит землю — та, у которой 20 зубьев, или та, у которой их 60?","Может показаться, что глубже разрыхлит землю борона с 60 зубьями. Однако это не так. Вспомним, что чем больше площадь опоры какого-либо тела, тем меньшее давление оно оказывает на находящуюся под этим телом поверхность. (По этой причине, например, идущий по снежному сугробу человек проваливается в него каждой ногой, а лыжник не проваливается, свободно скользя по его поверхности). У бороны с 60 зубьями площадь опоры больше, чем у бороны с 20 зубьями, значит, 60 зубьев с меньшей силой давят на землю, чем 20 зубьев. Значит, глубже разрыхлит землю борона с 20 зубьями.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-109,
На руках десять пальцев. Сколько пальцев на десяти руках?,Пятьдесят.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-110,
"У отца Моны есть четыре дочери: Лала, Леле, Лулу и Лоло. Как зовут пятую?",Мона.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-111,
"Если бензин подорожал на треть и пробег автомобиля уменьшился тоже на треть, то как изменятся затраты автовладельца на топливо?","Если предположить, что литр бензина стоил 30 руб., а расход топлива на пробег составлял 30 литров, то затраты были 900 руб. А теперь бензин стал стоить 40 руб., а расход топлива — 20 литров, итого 800 руб., т.е. на 100 рублей меньше.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-112,
"Семь и одиннадцать охапок сена сложили в стог, сколько охапок получилось?",Один стог или одна больная охапка.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-113,
"Пол лысины имеет 60 волос, сколько волос на целой лысине?",Ноль. На целой лысине нет волос.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-114,
"Два отца и два сына пошли на рыбалку. Выловили в общей сложности 3 рыбы, но каждый принес домой по одной пойманной рыбе. Как такое могло получиться?","Это сын, отец и дед.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-115,
"На границе пастбищных земель крестьян Майера и Шмидта пасется бык, принадлежащий фермеру Мюллеру. Кто может его доить?",Никто. Быков не доят.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-116,
"Одна утка плывет перед двумя другими, одна позади двух уток, одна между двух уток. Сколько всего уток плывет?",3,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-117,
"Два самолета летят из Лондона в Берлин. Один тратит 1,25 часа на полет, а другой — 75 минут. Какой самолет быстрее прилетит в Берлин?",Одновременно.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-118,
"Представьте, что вы водитель автобуса и идет дождь. На первой остановке в автобус садится 7 человек, на второй — 2 садятся и 3 вышли. На следующих двух один вышел, потом вышло 4 и зашло 2. Сколько лет водителю автобуса и сколько было остановок?",Водитель автобуса — это вы. Было 4 остановки.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-119,
Вы участвуете в гонке. Вы обогнали последнего. На какой позиции вы сейчас находитесь?,Вы не можете обогнать последнего.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-120,
"В центре одной деревни лежит 1,5 тонный камень. Когда утром кукарекает петух, он двигается. Неужели это возможно?","Да, конечно, ведь петух двигается когда кукарекает.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-121,
В квадратном доме есть окна на каждой стороне и все они выходят на юг. К дому подходит медведь. Какого цвета медведь?,Белого. Вы на Северном полюсе.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-122,
"Это не мой брат и не моя сестра, но его отец — мой отец и он ребенок моей матери. Кто это?",Я.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-123,
"Если поделить 30 на 1/2 и прибавить 10, то что при этом получится?",70,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-124,
"Три лягушки съедают три мухи за три минуты. Сколько минут понадобится 100 лягушкам, чтобы съесть 100 мух?",3 минуты.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-125,
На границе между Германией и Австрией упал пассажирский лайнер. Где похоронят выживших?,"Нигде, они выжили.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-126,
Немецкий планер упал на границе Германии и Австрии. Обе страны претендуют на его двигатель. Кто получит двигатель планера?,Никто. У планера нет двигателя.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-127,
Сколько раз в день совпадают стрелки часов?,22 раза.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-128,
"На лугу стоят папа-бык, мама-бык и ребенок-бык. К кому пойдет ребенок-бык, чтобы напиться?",Мамы-быка не бывает.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-129,
Можете ли вы носить воду в решете?,"Да, в виде льда.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-130,
"Если у вас есть желтый платочек и около полуночи, 19-го октября вы бросите его в Черное море, то что случится с платочком?",Намокнет.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-131,
Как далеко собака может бежать в лес?,"До середины леса, после чего уже будет выбегать из леса.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-132,
Две матери и две дочери вместе пошли по магазинам. У них в общей сложности 300€. Каждая из них покупает платье за 100€. Денег хватило всем. Как такое возможно?,"Это дочь, мать и бабушка.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-133,
"Во многих странах мира используется древнее изобретение, позволяющее видеть сквозь стены. Что это за изобретение?",Окно.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-134,
Какой город находится в 3333 км к западу от Северного полюса?,Направления на Северном полюсе могу быть только на юг.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-135,
"Человек смотрит на фотографию и говорит: «У меня нет ни брата, ни сына, но отец человека на этом фото — сын моего отца». Кто на фото?",Его дочь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-136,
"Если дочь Анны — мать моего сына и я мужчина, то кто я для Анны?",Зять.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-137,
"Четырехразовый билет стоит 1€, а одноразовый билет стоит 30 центов. Пассажир автобуса молча дает водителю 1€ и получает четырехразовый билет. Как водитель автобуса понял, что пассажир хотел именно четырехразовый билет?",Пассажир дал водителю 1€ мелочью.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-138,
"У матери Питера 3 сына — Хьюи, Дьюи и … ?",Питер.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-139,
"Человеку в 1995 году было 20 лет, в 2000 году ему было 15. Как такое возможно?",До нашей эры. Обратный отсчет.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-140,
"Почему в дикой природе, белые медведи не едят пингвинов?","Белые медведи живут на Северном полюсе, а пингвины — на Южном.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-141,
"Рассказывают, что Наполеон, после большого сражения, посетил госпиталь и беседовал с ранеными. Он подошёл к солдату, который проявил храбрость, но лишился руки в неравном бою. Полководец похвалил его за мужество и отметил, что с такими солдатами могущество Франции будет только умножаться. Солдат вскочил с койки и в патриотическом порыве воскликнул, что он настолько предан Наполеону, что для ничего не стоит и вторая рука. Схватив саблю, он одним ударом отрубил себе часть руки чуть выше кисти…
Что заставляет сомневаться в реальности этой истории?","То, что он схватил саблю в одну, оставшуюся руку.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-142,
"В аквариуме было 10 рыбок. 2 утонули, 3 уплыли. Сколько рыбок осталось в аквариуме?",Десять. Рыбки никуда не денутся из аквариума.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-143,
"Девушка сидит в таком месте, что если даже она встанет и уйдет, вы не сможете сесть туда же. Где она сидит?",У вас на коленях.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-144,
"В коробке было 6 яиц. 6 человек взяли по 1 яйцу, но в ней все равно осталось 1 яйцо. Как такое возможно?",Один человек взял яйцо вместе с коробкой.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-145,
"Двое мальчиков родились у одной матери, в одно и то же время, в одном и том же году, в один и тот же месяц и день. Но они не двойняшки. Кто они?",Тройняшки.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-146,
"Почему жираф в марте пьет больше воды, чем в феврале?","Потому что март длиннее, чем февраль.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-147,
"Человек с рюкзаком приближается к полю. Он знает, что если не откроет рюкзак, когда будет близко, то погибнет. Что у него в рюкзаке?",Парашют.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-148,
Возьмешь их в руки – они совершенно одинаковые. Поставишь на место – станут разными. Что это?,Два шахматных слона.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-149,
"На Дальнем востоке очень много японских легковых автомобилей, внедорожников, немало микроавтобусов. Однако японских автобусов практически нет. И вовсе не потому, что у них руль справа. А почему?",Двери для пассажиров находятся с левой стороны автобуса.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-150,
"Мальчик, рост которого составлял один метр, вбил в дерево гвоздь точно на высоте своего роста. Три года спустя он вернулся на это место. Мальчик вырос на двадцать сантиметров, а дерево – на сорок сантиметров. Насколько теперь гвоздь оказался выше мальчика?","Гвоздь окажется ниже мальчика на 20 см. Деревья растут верхушкой, и поэтому гвоздь не поднимется.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-151,
"Многие из Вас когда-нибудь замечали, что перед тем, как двинуть состав поезда вперед, машинист нередко подает весь состав назад. Для чего это делается?","Это делается в том случае, если сцепки между вагонами стоящего на станции состава натянуты. Если паровоз станет тянуть состав в таком виде, ему придется сдвигать с места весь состав сразу; при тяжелом составе это ему не под силу. Другое дело, когда паровоз предварительно подал состав назад; сцепки тогда прослабляются, и приводится в движение вагон за вагоном последовательно, — это гораздо легче.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-152,
"В начале Первой мировой войны в униформу британских солдат входила коричневая матерчатая фуражка. Металлических касок у них не было. Через некоторое время командование армии было обеспокоено большим количеством ранений в голову. Было решено заменить фуражку металлической каской. Но вскоре командование было удивлено, узнав, что количество ранений в голову увеличилось. Необходимо заметить, что интенсивность сражений была примерно одинаковой до и после введения касок. Так почему же число ранений в голову увеличилось, когда солдаты стали надевать каски, а не фуражки?","Число зафиксированных ранений в голову увеличилось, но снизилась смертность. Ранее, если осколок шрапнели попадал солдату в голову, он пробивал фуражку, и человек, вероятнее всего умирал. Это фиксировалось как смерть, а не как ранение. После того, как было предписано носить каски, удар шрапнели не убивал солдата, а всего лишь ранил. Поэтому число ранений в голову увеличилось, а число смертей снизилось.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-153,
"В Турции многие чистильщики обуви предлагают прохожим свои услуги совершенно бесплатно. Однако те, если решают воспользоваться их предложением, сами платят им деньги. Почему?","Они чистят бесплатно один ботинок, и чтобы не выглядеть нелепо в одном начищенном ботинке, прохожий вынужден платить за чистку второго.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-154,
Однажды заболевший Чехов послал посыльного в аптеку за касторкой. Аптекарь выдал две огромные капсулы. Рассердившийся писатель отослал посыльного обратно с гневной запиской: “Я не лошадь!”. В ответ аптекарь выдал шесть маленьких капсул в коробочке. Почему же он не поступил так сразу?,Хитрый аптекарь хотел получить автограф известного писателя.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-155,
"Гулливер попал в плен на острове, где обитали только амазонки. Ему сказали, что его собираются казнить, но сначала выполнят любое его желание. Какое желание он загадал и остался жив?",Он сказал: “Пусть меня убьет самая некрасивая из вас”.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-156,
"Афанасий Петрович работал сторожем на складе. После дежурства он подошел к владельцу склада и сказал ему, что он часто видел вещие сны и что только что ему приснился сон, что склад завтра попытаются ограбить. Владелец недолго думая решил проверить и на следующий день вызвал милицию, и действительно склад пытались ограбить, однако милиция задержала воров. На следующий день владелец склада дал Афанасию Петровичу 10000$ и сразу же уволил его. Почему?",Афанасий Петрович спал во время работы.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-157,
"Одного отца и одной матери дитя, но ни одного человека не сын.",Дочь.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-158,
"Один мельник, придя в свою мельницу, имевшую четыре угла, увидел в ней в каждом углу по три мешка, на каждом мешке сидело по три старых кошки, а каждая кошка имела при себе трёх котят. Спрашивается, сколь много тогда было на мельнице ног?","Две ноги, то есть мельниковы, ибо кошки имеют лапы.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-159,
"Что было завтра, и что будет вчера?",Нынешний день.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-160,
"Три человека играли вместе целую ночь. Когда перестали, то каждый выиграл. Спрашивается, какие это были игроки?",Музыканты.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-161,
"Кто поутру имеет четыре, в полдень две, а к вечеру три ноги?",Человек.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-162,
"Что, не причиняя ни боли, ни печали, приводит в слёзы?",Лук.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-163,
"Всякий день выхожу, но всегда дома.",Черепаха.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-164,
Кто может ткать без станка и без рук?,Паук.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-165,
"Кого никто не видит, а всякий слышит?",Гром.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-166,
"Где вода столбом стоит, не проливается?",В стакане.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-167,
Чего нельзя купить ни за какие сокровища?,Потерянного времени.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-168,
Какого животного в Ноевом ковчеге не было?,Рыбы.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-169,
Чем хлеб в огонь сажают?,Тестом.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-170,
Что родится без костей?,Язык.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-171,
Что со двора не стащишь?,Яму.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-172,
"Мы считали дырки в сыре, три плюс два равно: .…",Пять.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-173,
"Во время эпидемии короновируса распространялась информация о простом способе справиться с ним. Утверждалось, что вирус погибает при 26–28 градусах, исходя из чего предлагался простой рецепт: пить горячую воду, которая погубит вирус.
На основании чего можно смело утверждать, что рецепт негодный, даже ничего не понимая в медицине?","Обычная температу ра тела человека выше 26 градусов – от 35,5 до 37,2.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-174,
"Что вы можете найти в минутах, секундах и днях, но не в годах, декадах и веках?",Букву Н.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-175,
"У отца Мэри 5 дочерей: Чача, Чече, Чичи, Чочо. Как зовут пятую дочь?",Мэри.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-176,
Сколько раз встречается цифра 4 в целых числах от 1 до 50?,15,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-177,
"Вы участвуете в марафоне и обогнали бегуна, бежавшего вторым. Какую позицию вы теперь занимаете?",Вторую.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-178,
"Шла женщина в Москву, а навстречу — три мужика. У каждого по мешку, в каждом мешке по кошке. Сколько существ направлялось в Москву?",Только женщина.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-179,
"Что завязать можно, а развязать нельзя?",Разговор.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-180,
Как может брошенное яйцо пролететь три метра и не разбиться?,"Нужно бросить на четыре метра, тогда первые три метра оно пролетит целым.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-181,
"К реке подходят два человека. У берега лодка, которая может выдержать только одного. Оба человека переправились на противоположный берег. Как?",Они были на разных берегах.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-182,
Как человеку не спать 8 дней?,Спать по ночам.,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-183,
"Тестовый вопрос для 6‑тилетних детей при отборе в школу “Сократиков”.
Овца – 2.
Корова – 2.
Собака – 3.
Свинья – 3.
Кукушка – 4.
Петух – 8.
Ослик – ?",2 (Иа).,https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-184,
"Вы стоите перед закрытой комнатой. Внутри помещения есть 1 лампочка накаливания. Окна и щели, чтобы разглядеть свет внутри комнаты, отсутствуют. Справа от двери ведущей в комнату установлено 3 переключателя, которые находятся в положении «выкл», но только один из них подключен к лампе. Нужно узнать, какой переключатель включает лампочку, но при этом зайти в комнату можно только 1 раз.
Примечание: менять положение переключателей разрешено неограниченное количество раз.","Включите сразу два любых переключателя, а один оставьте в положении «выкл». Подождите 2 минуты, выключите один из включенных переключателей и сразу войдите в комнату:
• если лампа горит, значит, это тот переключатель, который остался включенным;
• если света в комнате нет, потрогайте лампочку: горячая — рабочий переключатель, который был выключен перед входом в помещение, холодная — подключен переключатель, положение которого ни разу не менялось.",https://azbyka.ru/deti/logicheskie-i-zanimatelnye-zadachi-185,
