prompt,solution,link
"Здравствуйте подскажите, в муниципальной квартире жили 3 человека бабушка, мама, сын. Сын прописывает сожительницу и ребенка (по её словам что ребёнок его, но не факт т.к. гулящая была особа). Умерает бабушка потом сын, в квартире остаётся одна мама жить, выгоняет сожительницу с ребёнком который не факт что его. Через суд сожительницу удалось выписать, осталась доля за ребёнка в квартире муниципальной, накопился долг за квартплату у сожительницы т.к. её ребёнок имеет долю она квартплату не платит, имеется большой долг. Подскажите есть какие либо варианты с этой квартирой, осталась одна мама в ней жить и прописанный ребёнок который не живёт и не платят за свою долю, они ждут пока мама умрёт и квартира им достанется. Платить не хотят и долю отдавать, что-то можно вообще сделать с этой квартирой? Хотелось продать её и купить другую...",Вам нужно установить факт проживания ребенка в другом месте и пробовать снять его с регистрации через суд,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B7%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5-%D0%BF%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D0%B6%D0%B8%D1%82%D0%B5-%D0%B2-%D0%BC%D1%83%D0%BD%D0%B8%D1%86%D0%B8%D0%BF%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9-%D0%BA%D0%B2%D0%B0%D1%80%D1%82%D0%B8%D1%80%D0%B5-%D0%B6%D0%B8%D0%BB
"Здравствуйте, хочу купить дом в Тройце-лыково в Москве но жители этого село говорят что земля им не принадлежит и в любое время могут их снести если начнут строит новостройки, скажите пожалуйста можно ли купить землю у государство в этом же селе чтобы никто не смог в будущем выселять под предлогом какой какой-нибудь стройки?",Вы можете оформить в собственность дом и на этом основании выкупить в собственность землю,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B7%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5-%D1%85%D0%BE%D1%87%D1%83-%D0%BA%D1%83%D0%BF%D0%B8%D1%82%D1%8C-%D0%B4%D0%BE%D0%BC-%D0%B2-%D1%82%D1%80%D0%BE%D0%B9%D1%86%D0%B5-%D0%BB%D1%8B%D0%BA%D0%BE%D0%B2%D0%BE-%D0%B2-%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
"Здрааствуйте！помогите, пожалуйста, советом. Будучи замужем взяла в кредит деньги на приобретение машины-700тыс. Машину оформили на супруга. В пользовании машина была около 3 месяцев. Во время моего отпуска у супруга возникает форсмажорная ситуация -сгорел гараж, который снимался в аренду. Без моего ведома, он переоформляет машину на владельца гаража в счет уплаты долга. Кредит платит супруг с горем пополам, с частыми просрочками. Мне звонят из банка и требуют выплат. Я не хочу платить за мужа кредит. Хочу развестись. Возможен ли раздел долга по кредиту пополам между супругами?как доказать, что машиной пользовался только супруг и без моего ведома распорядился общим нажитым имуществом？договора на продажу машины соответственно нет. Можно как-то доказать, что 26.12.2016г. я взяла кредит, 28.12.2016 преобретается машина и оформляется через какое-то время на супруга. Через 3 месяца машина переоформлена на другого человека уже, а кредит выплачивать мне, видимо, т.к. плохие отношения с супругом. Есть обшая несовершеннолетняя дочь. Мне ее надо поднимать, а не расплачиваться за кредит мужа. Посоветуйте, пожалуйста, что можно предпринять？","Поделить кредит на двоих вы можете, а вот о взыскании 1/2 стоимости авто, то нужно доказать, что вам не достались деньги от продажи",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B7%D0%B4%D1%80%D0%B0%D0%B0%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5%EF%BC%81%D0%BF%D0%BE%D0%BC%D0%BE%D0%B3%D0%B8%D1%82%D0%B5-%D0%BF%D0%BE%D0%B6%D0%B0%D0%BB%D1%83%D0%B9%D1%81%D1%82%D0%B0-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D0%BE%D0%BC-%D0%B1%D1%83%D0%B4%D1%83%D1%87%D0%B8-%D0%B7%D0%B0
"Нет, все было не так.
В исковом заявлении я на основании ""нарушения сроков устранения недостатков товара"" требовал моральный вред, штраф и пеню. В уточненном исковом заявлении я добавил к этим требованиям расторжение договора купли-продажи на том же основании. Уточненное исковое заявление было принято судом без проблем.
Никакого ""вопроса о юридической квалификации правоотношения для определения..."" суд не выносил на обсуждение.
Мое требование на основании ст.39 не изменять основание иска, так как это право есть только у истца, во время заседания судья не отреагировала, но затем, просто, не внесла эти слова в протокол.
Никаких мотивов по которым суд не применил нормы права на которые я ссылался суд в своем решении не привел.
Это, точно, не беспредел?","Уточненное исковое заявление нужно подавать сохраняя требования, которые не изменяются и уточнять те, которые изменились по сумме и характеру, если вы указываете дополнительные, то необходимо указать, что иные требования остаются без изменения.

Не видя ваш первоначальный иск и уточненный добавить более нечего",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BD%D0%B5%D1%82-%D0%B2%D1%81%D0%B5-%D0%B1%D1%8B%D0%BB%D0%BE-%D0%BD%D0%B5-%D1%82%D0%B0%D0%BA-%D0%B2-%D0%B8%D1%81%D0%BA%D0%BE%D0%B2%D0%BE%D0%BC-%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B8-%D1%8F-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B8
"Здравствуйте.
У нас ребёнок родился 05.05.2018 года. То есть ребёнку сейчас год. С момента рождения ни где не был прописан. Точнее 12.07.2019 мы подали документы на прописку, сама прописка будет готова 18.07.2019.
Проживает с мамой и папой в квартире. Мама прописана в квартире.
Могут ли наложить на нас штраф?
Слышала что родителей(если они прописаны в квартире) освобождают от штрафа за прописку ребёнка, если он живет с родителями.
Помогите пожалуйста.
Если положен штраф, то в пределах какой суммы?","Ч.1 с.19.15.1 влечет наложение административного штрафа на граждан в размере от двух тысяч до трех тысяч рублей; на нанимателей, собственников жилого помещения (физических лиц) - от двух тысяч до пяти тысяч рублей; на юридических лиц - от двухсот пятидесяти тысяч до семисот пятидесяти тысяч рублей.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B7%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5-%D1%83-%D0%BD%D0%B0%D1%81-%D1%80%D0%B5%D0%B1%D1%91%D0%BD%D0%BE%D0%BA-%D1%80%D0%BE%D0%B4%D0%B8%D0%BB%D1%81%D1%8F-05052018-%D0%B3%D0%BE%D0%B4%D0%B0-%D1%82%D0%BE-%D0%B5%D1%81%D1%82%D1%8C
"Зравствуйте!)
Мне интересно могу ли я потребовать что то у заведения, которое обслужило меня таким образом:
Покурил кальян в клубе, уже надеялся уйти раз и навсегда но...
Из-за того что стол шатался, с калауда(куда ставятся угли) слетела крышка(она вся была в саже и невозможно было плотно накрыть, так что чуть ли не болталась), ударилась о блюдце и упала на танцпол со 2 на 1 этаж(уже почти никого не было так что приземлилась просто на пол), при этом сам кальян не пошевелился, она просто сползла.
Я услышал только «Звень...» но на всякий случай проверил под столами и на них, ничего ли там нет.
Спускаюсь по лестнице к выходу, мне приносят эту крышку и я соглашаюсь заплатить штраф если она что-то пропалила(следов пропала никто нигде не обнаружил), а они говорят что опрокинул кальян(штраф 100 грн.
Камеры показывать наотрез отказывались, так как по их словам до конца смены им нельзя перематывать запись, но когда я сказал что любой посетитель при его обвинении может потребовать запись с камер, на которых видно что из-за их кривого стола, горячая крышка чуть не упала кому-то на голову и после этого ничего не придумали как слать меня на\*\*\*.
Конечно, ведь там видно что я даже не притрагивался к кальяну, а просто забрал руки со стола(который шатается) когда вставал и крышка которую никогда не мыли(как и кальяны) просто выпала на блюдце, и от него свалилась на танцпол, хотя из-за такой мебели кальян вполне с дуновением ветра может упасть на потребителя.
Я уже и не говорю о том что персонал обманул на счет минимального заказа(которого на самом деле нету) по кухне или бару в 200 грн перед заказом кальяна, а также стоимость прохода в клуб снимали на порядок больше чем указано у них на официальном сайте.","Поскольку вы убытков не понесли, в виде порчи имущества, то и нечего предъявлять, кроме ""моральных страданий"", которые вы возможно понесли",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B7%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5-%D0%BC%D0%BD%D0%B5-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BD%D0%BE-%D0%BC%D0%BE%D0%B3%D1%83-%D0%BB%D0%B8-%D1%8F-%D0%BF%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%87%D1%82%D0%BE-%D1%82
"Не возвращают страховку после отказа по заявлению, что делать?",Вы вправе подать исковое заявление в суд,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BD%D0%B5-%D0%B2%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B0%D1%8E%D1%82-%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BA%D1%83-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-%D0%BE%D1%82%D0%BA%D0%B0%D0%B7%D0%B0-%D0%BF%D0%BE-%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8E-%D1%87%D1%82%D0%BE
"Сейчас отменили возможность регресса от страховой если не сдали протокол в течение пяти дней, есть определение вс рф, это так?","В настоящее время отменен пункт о возможности регресса в ст.14 ФЗ Об ОСАГО, однако судебная практика по случаям до отмены не сложилась",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D1%80%D0%B5%D0%B3%D1%80%D0%B5%D1%81%D1%81-%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%BE%D0%B2%D0%BE%D0%B9
"Регион: [г.Москва](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%B3%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0) Здравствуйте, я с мужем и дочерью 6 лет, проживаю зарубежом (сохранив московскую прописку). Мы приняли решение разводиться, наш брак заключен в России, оба граждане РФ, как и граждане страны где мы живем. Я собираюсь возвращаться с ребенком в Россию и соответственно ребенок 100% времени будет проводить со мной. По законам страны в которой мы живем, алименты на ребенка меньше чем в России. Если будем разводиться в России, то ему назначат, как я понимаю, алименты 25%, но вот как будут взыскивать, в случае неуплаты, большой вопрос, ведь он проживает в другой стране. В принципе можно доказать, что мы женаты и в этой стране и развестись, и тогда алименты будут взыматься автоматически. Разведут ли нас по постановлению суда из другой страны в России и как будет рассматриваться что он платит мне меньше 25% (у мужа достаточно высокий доход)? Спасибо.","Номинально будет 25%, при отсутствии информации о доходе будут рассчитывать алименты от средней зп по стране, она примерно 40 000.  
Если доход высокий и если есть доказательства, то можно обратиться в суд для установления алиментов в твердой сумме",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B0%D0%BB%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D1%8B-0
"Регион: [Алтайский край](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%B0%D0%BB%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B9-%D0%BA%D1%80%D0%B0%D0%B9) Прошу помочь в таком вопросе - написал отвод судье, приложил в числе подтверждающих документов CD и DVD диски. Судья рассмотрела отвод и, естественно, отказала. Затем она вернула мне диски с сопроводительной запиской, обосновав возврат дисков отказом в заявлении на отвод. Но отвод был в рамках дела, решение по которому еще не вступило в законную силу и предстоит апелляция. Мне нужно вернуть диски назад, в дело. Считаю, что действия судьи не законны исходя из ст.78 ГПК РФ. НО, что предпринять практически. Есть какие-нибудь советы?","Вы можете приложить диски к апелляции, также можете ходатайствовать о просмотре информации с них в заседании суда апелляционной инстанции",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B2%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%82-%D1%81%D1%83%D0%B4%D0%BE%D0%BC-%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D1%85-%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%BE%D0%B2
"Регион: [Курганская область](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%BA%D1%83%D1%80%D0%B3%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) Здравствуйте подскажите пожалуйста как и куда подать заявление на человека который довёл моего деда до инсульта в последствии чего это привело к смерти.У меня был дед (не родной по крови )жил себе спокойно в двухкомнатной квартире которую я у него купил но оставил его спокойно доживать в ней к нему был прикреплен соцработник .Я после смерти бабушки с ним сильно разругался и не общался с ним , характер у него был ещё тот.В один прекрасный день к нему явилась племянница и давай ему промывать мозги на счёт квартиры,в следствии чего у него был первый инсульт,после которого она не отправила его в больницу а продолжала промывать мозги чтобы он подал заявление в суд чтобы там признали сделку купли продажи недействительной в следствии чего у него случился второй инсульт его увезли в больницу где он скончался.","Если вы считаете, что ее действия виновные, то подайте заявление по ст.125 УК РФ.  
Заведомое оставление без помощи лица, находящегося в опасном для жизни или здоровья состоянии и лишенного возможности принять меры к самосохранению по малолетству, старости, болезни или вследствие своей беспомощности, в случаях, если виновный имел возможность оказать помощь этому лицу и был обязан иметь о нем заботу либо сам поставил его в опасное для жизни или здоровья состояние, -  
наказывается штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо принудительными работами на срок до одного года, либо арестом на срок до трех месяцев, либо лишением свободы на срок до одного года.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B4%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B4%D0%BE-%D0%B8%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82%D0%B0
"Регион: [Республика Саха (Якутия)](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D1%80%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0-%D1%81%D0%B0%D1%85%D0%B0-%D1%8F%D0%BA%D1%83%D1%82%D0%B8%D1%8F) Здравствуйте. Получил уведомление от человека о том что он подал на меня заявление в прокуратуру по статье 159 УК РФ, якобы я мошенник и украл у него деньги.

Суть всей ситуации такова, я веб-разработчик, работаю по предоплате или через услугу сейфа. От заказчика поступил заказ, решили работать через предоплату, человек оплатил на Яндекс.Деньги, с моей же стороны были выполнены работы по сайту заказчика, на что после всех моих работ и потраченного времени он был удовлетворен. На этом мы закончили сотрудничество. После чего, спустя пару дней, он пишет что якобы тут не так и так вот так надо, а не так и т.д. На что я ответил, что с моей стороны все выполнено, Вы приняли результат моей работы, а теперь вы пишите мне что все это не правильно спустя время, далее он начал названивать по скайпу и всячески насаждать, на что я заблокировал его. И вот через некоторое время заказчик пишет мне что подал заявление по статье 159 УК РФ на меня, что мне делать в данной ситуации? Ведь с моей стороны все было выполнено согласно ТЗ, но спустя время он был недоволен моей работой.","Мошенничества в ваших действиях нет, поскольку для этого вы вообще ничего не должны были сделать.  
В данном случае у вас гражданский спор",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BF%D0%BE%D0%B4%D0%B0%D0%BB%D0%B8-%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D0%BC%D0%B5%D0%BD%D1%8F-%D0%BF%D0%BE-%D1%81%D1%82%D0%B0%D1%82%D1%8C%D0%B5-159-%D1%83%D0%BA-%D1%80%D1%84
"Регион: [Ленинградская область](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%BB%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) Здравствуйте. 
СУД ВЫНЕС ОПРЕДЕЛЕНИЕ Определение судьи Зарецкой Н.Л., вынесенное по ходатайству истца ПАО Банк ""ФК Открытие"" о принятии мер по обеспечению иска по делу №2-1386/2017 oт 13.01.2017, выдавший орган: Пушкинский районный суд Санкт-Петербурга

- Решение суда давно вступило в законную силу, но определние суда не отменено и в РОСРЕЕСТРЕ имеется об этом запись, зарегистрировать новому собственнику недвижимость невозможно;

ВОПРОС: в каком порядке , где, как снимается (отменятся) такое решение суда, получить образец заявления, список приложений к нему, пошаговую инсрукцию как отменяется такое решение",Решение суда вступило в силу - а решение исполнено или нет? Решение суда в Вашу пользу или нет?,https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%83%D0%B4%D0%B0-%D0%B4%D0%B0%D0%B2%D0%BD%D0%BE-%D0%B2%D1%81%D1%82%D1%83%D0%BF%D0%B8%D0%BB%D0%BE-%D0%B2-%D1%81%D0%B8%D0%BB%D1%83%D0%BD%D0%BE-%D0%BE%D0%BF%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D1%83%D0%B4%D0%B0-%D0%BE%D1%82%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%BE-%D1%87%D1%82%D0%BE-%D0%B4%D0%B5%D0%BB%D0%B0%D1%82%D1%8C
"Регион: [Санкт-Петербург](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D1%81%D0%B0%D0%BD%D0%BA%D1%82-%D0%BF%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3) Здравствуйте! Я - гражданка Беларуси, постоянно проживаю в России, состою на консульском учете в посольстве. Какие мне нужны документы для вступления в брак с гражданином РФ? Я ранее не состояла в браке, достаточно ли мне нотариально заверить копию соответствующих станиц паспорта?
Еще, в интернете пишут, что гражданам РБ при вступлении в брак в РФ надо перевод паспорта - но у меня есть страница на русском языке со всей информацией обо мне, это точно необходимо?","Самый простой способ решить этот вопрос- позвонить в ЗАГС в России, куда собираетесь подавать документы. А так, если есть страница на русском, то нотариальный перевод не обязателен.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B2%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D0%B1%D1%80%D0%B0%D0%BA-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83-%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD%D0%B0%D0%BC%D0%B8-%D1%80%D1%84-%D0%B8-%D1%80%D0%B1-%D0%B2-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8
"Регион: [Челябинская область](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D1%87%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) Здравствуйте! https://www.youtube.com/watch?v=sshjKvyGGyk в данном видео ребята ездят с закрытыми номерами, патрульные ДПС ничего не могут им сделать. Как так?","Это частный случай или ради сьемки договорились, в любом случае это незаконно",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B5%D0%B7%D0%B4%D0%B0-%D1%81-%D0%B7%D0%B0%D0%BA%D1%80%D1%8B%D1%82%D1%8B%D0%BC%D0%B8-%D0%BD%D0%BE%D0%BC%D0%B5%D1%80%D0%B0%D0%BC%D0%B8
"Здравствуйте.
В отношении меня было рассмотрено дело. Иск подан 24.12.2018, а принят к производству 18.02.2019. А я сменил регистрацию 12.02.2019г. и по прежнему адресу не проживаю уже давно (о чем истец знал, т.к. до этого подавал два иска и уведомлял меня о них по эл. почте). В отношении этого иска истец меня не информировал. Т.е фактически я не знал о судебном заседании. Я правильно понимаю, что повестку в суд на прежний адрес мне выслали после 18.02.2019? Значит я не знал о факте судебного заседания. Сейчас хочу отменить решение суда. О том что суд был узнал случайно. Прикладываю хронологию ""движения дела"" с сайта суда


Регистрация иска (заявления, жалобы) в суде 24.12.2018 16:41
Передача материалов судье 24.12.2018 19:11
Решение вопроса о принятии иска (заявления, жалобы) к рассмотрению Оставление иска (заявления, жалобы) без движения 29.12.2018 12:09
Рассмотрение исправленных материалов, поступивших в суд Иск (заявление, жалоба) принят к производству 
 18.02.2019 10:13
Вынесено определение о подготовке дела к судебному разбирательству 18.02.2019 10:13","В связи со сменой адреса регистрации вас уведомляли ненадлежащим образом, следовательно нужно подавать апелляцию с ходатайством о восстановлении срока и указанием причин не согласия с иском",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BE%D1%82%D0%BC%D0%B5%D0%BD%D0%B0-%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D1%83%D0%B4%D0%B0-%D0%B8%D0%B7-%D0%B7%D0%B0-%D1%81%D0%BC%D0%B5%D0%BD%D1%8B-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%B0
"Регион: [Чувашская Республика - Чувашия](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D1%87%D1%83%D0%B2%D0%B0%D1%88%D1%81%D0%BA%D0%B0%D1%8F-%D1%80%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0-%D1%87%D1%83%D0%B2%D0%B0%D1%88%D0%B8%D1%8F) Я проучилась один год в техникуме (как за 10 класс). Могут ли меня взять обратно в школу в 11 класс?

'","Могут принять в порядке, предусмотренном Приказом Минобрнауки России от 12.03.2014 N 177 ""Об утверждении Порядка и условий осуществления перевода обучающихся из одной организации, осуществляющей образовательную деятельность по образовательным программам начального общего, основного общего и среднего общего образования, в другие организации, осуществляющие образовательную деятельность по образовательным программам соответствующих уровня и направленности""

Прием в общеобразовательные учреждения осуществляется на основании заявления о приеме. Школа должна обеспечить прием всех граждан, имеющих право на получение общего образования и проживающих на территории, закрепленной за этим учреждением, или на «свободные» места, имеющиеся в этом учреждении.

Чтобы восстановиться в школе, следует ознакомиться с условиями приема в общеобразовательную организацию, получить из колледжа/техникума справки об освоении общеобразовательных дисциплин с указанием оценок промежуточной аттестации, подать заявление в школу с просьбой продолжить обучение. В случае отказа администрации школы следует обратиться в орган управления образованием муниципалитета с просьбой решить вопрос об устройстве в общеобразовательное учреждение.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5
Регион: [Иркутская область](/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D1%8B/%D0%B8%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA%D0%B0%D1%8F-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C) Доброго времени суток. Помогите пожалуйста разобраться в следующей ситуации. Ифнс вынесено решение о блокировке счетов ИП за неуплату налога в срок. Наряду с блокировкой расчётных счетов ИП заблокировали счета (карты) физического лица. Вопрос: имеет ли право ифнс без решения суда блокировать счёт физ лица по обязательствам ИП?,"ИП и физическое лицо по сути одно и тоже.  
Как отметил Пленум Верховного Суда РФ в абз. 1 п. 55 постановления Пленума Верховного Суда РФ от 17.11.2015 № 50, указанная норма закрепляет полную имущественную ответственность физического лица независимо от наличия статуса индивидуального предпринимателя и не разграничивает имущество гражданина как физического лица либо как индивидуального предпринимателя.",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0-%D1%81%D1%87%D0%B5%D1%82%D0%B0-%D0%B8%D0%BF
"Добрый день. В положении о правилах ОСАГО есть п. 3.11. Сначала там описывается, как потерпевший предоставляет автомобиль на осмотр - страховщик должен согласовать дату осмотра, если же ТС не было предоставлено, страховщик должен согласовать новую дату. А в самом последнем абзаце говорится, что при оформлении документов о ДТП без участия полиции (европротокол) причастный к ДТП (т.е. виновный?) предоставляет ТС на осмотр в таком же порядке. Правильно ли я понимаю, что причастного к ДТП страховщик должен так же уведомить об осмотре, а при непредоставлении ТС повторно согласовать дату?
Было ДТП в январе 2018, документы оформлены без участия полиции. Супруг - виновный в ДТП. Страховщик назначил осмотр ТС, отправил телеграмму, которую мы не получили. Почти через год СК подала иск о возмещении ущерба в порядке регресса. Мы подали возражение, одним из пунктов было как раз описание п. 3.11 Правил ОСАГО. Телеграмма зафиксирована только одна, повторная не отправлялась. Но наше возражение не принято во внимание, потому что п. 3.11 “регулирует иные правоотношения”. Так написано в решении суда. Сейчас готовим апелляционную жалобу. Подскажите, правильно ли я понимаю правила, описанные выше?","Вы можете ссылаться на эти правила, но нужно также доказывать и уважительные причины невозможности получения телеграмы",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0-%D0%BE%D1%81%D0%B0%D0%B3%D0%BE
"Здравствуйте, уважаемые юристы. Хочу подать в суд на Автотрансинфо (г. Санкт-Петербург). Помогите найти надлежащего ответчика. Под брендом пять ООО. Я не юрист, подскажите, куда отправлять досудебную претензию?","Опишите более подробно в чем суть спора, какие отношения вас связывабт, тогда мы можем оказать помощь в выборе ответчика",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D0%BA%D0%B0%D0%BA-%D0%BD%D0%B0%D0%B9%D1%82%D0%B8-%D0%BD%D0%B0%D0%B4%D0%BB%D0%B5%D0%B6%D0%B0%D1%89%D0%B5%D0%B3%D0%BE-%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%87%D0%B8%D0%BA%D0%B0-%D0%B0%D1%82%D0%B8%D1%81%D1%83
"Здравствуйте! Я, совершенно, неопытный юрист, поэтому глупый вопрос. Нашей организации пришло письмо с представлением прокурора, в какой срок его нужно рассмотреть, как уведомлять прокурора и т.п., - это я знаю, а как происходит сам процесс рассмотрения? Искала видео в интернете, не нашла. Вот придет к нам прокурор, что нужно дальше делать, что говорить? Буду очень признательна за помощь.","Три дня на ответ.  
По вопросу самих ответов и поведения, то без информации о самом запросе невозможно вам что-то подсказать",https://xn----dtbrojdkckkfj9k.xn--p1ai/content/%D1%80%D0%B0%D1%81%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D1%80%D0%B5%D0%B4%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BF%D1%80%D0%BE%D0%BA%D1%83%D1%80%D0%BE%D1%80%D0%B0
