bugurt,prompt
"""у меня своя рок группа""  
@  
ЕДИНСТВЕННЫМИ ПАЛОЧКАМИ В ЖИЗНИ БАРАБАНЩИКА БЫЛИ ПАЛОЧКИ ОТ СУШИ  
@  
БАСИСТ ДАЖЕ НЕ ЗНАЕТ ЧТО ОН В ГРУППЕ  
@  
ВОКАЛИСТА НЕТ  
@  
ВСЕ ПЕСНИ ЭТО ГАЧИКАВЕРЫ НА ЕГОРА ЛЕТОВА",напиши бугурт про человека который хвастается тем что у него своя рок группа
"НЕ ВЫСЫПАЕШЬСЯ  
@  
НЕРВНЫЙ ИЗ ЗА НЕДОСЫПА  
@  
ПЫТАЕШЬСЯ УСНУТЬ С МЫСЛЯМИ О ТОМ, ЧТО НЕ ВЫСПИШЬСЯ  
@  
НЕ ВЫСЫПАЕШЬСЯ  
@  
КОЛЕСО САНСАРЫ НЕРВНО ПЬЕТ ПУСТЫРНИК",напиши бугурт про то что ты не высыпаешься
"РАБОТАЕШЬ БАРИСТА В МАЛЕНЬКОЙ КОФЕЙНЕ   
@  
ПОНЕДЕЛЬНИК  
@  
НА УДИВЛЕНИЕ ХОРОШИЙ БАЛАНС ОТДЫХА И РАБОТЫ, МОЖНО ПОБЕЗДЕЛЬНИЧАТЬ НО В МЕРУ  
@  
УСПЕЛ НАМЫТЬ ПОМЕЩЕНИЕ, РАБОЧИЙ ИНВЕНТАРЬ И КОФЕМАШИНУ  
@  
ДО ЗАКРЫТИЯ 8 МИНУТ  
@  
УЖЕ МЕЧТАЕШЬ О ТОМ КАК МЕДЛЕННЫМИ УВЕРЕННЫМИ ШАГАМИ С СИГАРЕТОЙ В ЗУБАХ ИДЁШЬ ДОМОЙ  
@  
И ЗА 0,00000005 СЕКУНД ЛЕТЯЩЕЙ ПОХОДКОЙ ЗАЛЕТАЕТ УВЕРЕННО НАСТРОЕННЫЙ КЛИЕНТ  
@  
НА ТВОИ ИЗВИНЕНИЯ О ТОМ ЧТО ТЫ ЗАКРЫВАЕШЬСЯ, ПРИЛЕТАЕТ ЛИШЬ НЕДОВОЛЬНАЯ РЕАКЦИЯ  
@  
И ТЫ БОЯСЬ ШТРАФА ЗА НЕПОДЛЕЖАЩИЕ ОБРАЩЕНИЕ С ГОСТЯМИ ВЫНУЖДЕН ОБСЛУЖИТЬ ЕГО  
@  
ТЫ ПАЧКАЕШЬ ИНВЕНТАРЬ, НЕ РАБОЧУЮ ОДЕЖДУ, И САМОЕ ПРИЯТНОЕ НУЖНО СНОВА МЫТЬ КОФЕМАШИНУ  
@  
СО СЛОВАМИ «ХОРОШЕГО ВЕЧЕРА», УЛЕТАЕШЬ НА ЖОПНОЙ ТЯГЕ НА КАДИЮ ГДЕ НЕТ ШТРАФОВ ЗА НЕПОДЛЕЖАЩИЕ ОБРАЩЕНИЕ С ГОСТЯМИ",бугурт про баристу к которому заходят клиенты в самый конец дня
"ПЯТНИЦА  
@  
В ЭФИРЕ КАЛ-ШОУ  
@  
СЭЙДИСНИЛЮ  
@   
И ПО ТРАДИЦИИ ПОД АПЛОДИЦИ ЗРИТЕЛЬНОГО САЛА  
@  
ПЕРВАЯ ТРОЙКА ИГРОКОВ  
@  
ОЭЛЮЦ!",
"#забугорный\_бугурт  
ЖИВЁШЬ В ЛИБЕРТАРИАНСКОЙ УТОПИИ  
@  
ПРОСЫПАЕШЬСЯ  
@  
НЕТ ИНТЕРНЕТА ПОТОМУ ЧТО DARPA НИКТО НЕ ФИНАНСИРОВАЛ И ЕГО НЕ РАЗРАБОТАЛИ  
@  
ЗАВТРАКАЕШЬ  
@  
ХОТЬ БЫ НЕ УМЕРЕТЬ ОТ ОТРАВЛЕНИЯ ТЯЖЁЛЫМИ МЕТАЛЛАМИ, ПОТОМУ ЧТО НИКТО НЕ РЕГУЛИРУЕТ БЕЗОПАСНОСТЬ ПИЩИ  
@  
ВЫХОДИШЬ НАРУЖУ  
@  
САДИШЬСЯ В МАШИНУ  
@  
ХОТЬ БЫ НЕ ПОПАСТЬ В АВАРИЮ, ПОТОМУ ЧТО НЕТ ТРЕБОВАНИЙ ПО НАЛИЧИЮ РЕМНЕЙ И ПОДУШЕК БЕЗОПАСНОСТИ  
@  
ЕДЕШЬ НА РАБОТУ В МЕГАКОРПОРАЦИЮ ПО ГРУНТОВКЕ, ПОТОМУ ЧТО ДОРОГ НЕТ  
@  
РАБОТАЕШЬ 9 ЧАСОВ С 15-МИНУТНЫМ ПЕРЕРЫВОМ ЧТОБЫ ПОЕСТЬ, ХОТЬ БЫ ЕДА БЫЛА БЕЗ ТОКСИНОВ  
@  
ИДЁШЬ К ПАРКОВКЕ  
@  
МАШИНЫ НЕТ  
@  
ЗВОНИШЬ В ЧАСТНУЮ ПОЛИЦЕЙСКУЮ КОРПОРАЦИЮ  
@  
""ПОЖАЛУЙСТА УЧТИТЕ ЗВОНОК СТОИТ $19.95""  
@  
ЗА РАССЛЕДОВАНИЕ ТРЕБУЮТ $1000  
@  
ТЫ ЗАРАБАТЫВАЕШЬ В МЕСЯЦ ВСЕГО $800 ПОТОМУ ЧТО ТРУДОВОГО ЗАКОНОДАТЕЛЬСТВА НЕТ  
@  
ВЕЖЛИВО ОТКАЗЫВАЕШЬСЯ  
@  
ИДЁШЬ ДОМОЙ  
@  
ТЕБЯ ЗАРЕЗАЛИ ЧТОБЫ ЗАБРАТЬ ОБУВЬ  
@  
БЛИЖАЙШИЙ ЧАСТНЫЙ ПОЛИЦЕЙСКИЙ НЕ МОЖЕТ ВМЕШАТЬСЯ ПОТОМУ ЧТО ИХ КОМПАНИЯ НЕ ПОКРЫВАЕТ ТЕБЯ  
@  
УМИРАЕШЬ ОТ ВНУТРЕННЕГО КРОВОТЕЧЕНИЯ  
@  
МЕГАКОРПОРАЦИЯ НАСЛЕДУЕТ ТВОЙ ДОМ ПОТОМУ ЧТО ЭТО БЫЛО НАПИСАНО МЕЛКИМ ШРИФТОМ В ТВОЁМ РАБОЧЕМ КОНТРАКТЕ  
  
такова жизнь в либертарианском раю",бугурт про либертарианство
"- ТЕБЕ ЕЩЕ РАНО ОБ ЭТОМ ЗНАТЬ!  
@  
-СЕКС ЭТО ГРЕХ!  
@  
-ДО БРАКА НИЗЗЯ  
@  
-НЕ ХВАТАЛО, ЧТОБЫ ТЫ НАМ В ПОДОЛЕ ПРИНЕСЛА  
@  
-ЧТОБЫ Я ТЕБЯ С ЭТИМ МАЛЬЧИКОМ БОЛЬШЕ НЕ ВИДЕЛА (ХОТЯ ВЫ ПРОСТО МИРНО ОБЩАЛИСЬ)  
@  
-ВСЕ МУЖЧИНЫ ХОТЯТ ТЕБЯ ИЗНАСИЛОВАТЬ  
@  
ПРОХОДИТ 10 ЛЕТ  
@  
ВЫРАСТАЕШЬ ХАНЖОЙ И ПУРИТАНКОЙ 10 ВИКТОРИАНСКИХ ЛЕДИ/10, ШАРАХАЕШЬСЯ ОТ ПАРНЕЙ, САМА МЫСЛЬ О ПОЛОВОМ СНОШЕНИИ ТЕБЕ ОТВРАТИТЕЛЬНА  
@  
-ДОЧА, НУ ГДЕ ЖЕ НАШИ ВНУКИ?  
#тянобугурт",напиши мне бугурт про сексуальное образование для девочек в россии
"‌НЕВАЖНО КАК  
@  
НО НАЧАЛОСЬ  
@  
ТЫ - ОБЫЧНЫЙ СЫЧ  
@  
РОДИТЕЛИ ПО БЫСТРОМУ СОБИРАЮТ ВСЕ ВЕЩИ В МАШИНУ (БЛАГО У ВАС КЕМПЕР И МНОГО БРАТЬ НЕ НАДО) И СЬЕБЫВАЮТ ИЗ ГОРОДА   
@  
НА ДАЧУ  
@  
ПОСЕЛОК САМ ПО СЕБЕ НЕ ГУСТО НАСЕЛЕН, А ДОЕХАТЬ ДО НЕГО СМОГЛО ЕЩЁ МЕНЬШЕ  
@  
30 ЧЕЛ/200  
@  
ВРЕМЯ ИДЁТ, ПРОПАДАЕТ ИНТЕРНЕТ  
@  
ЗА НИМ И ТЕЛЕВИДЕНИЕ  
@  
РАДИО УМЕРЛО ПОСЛЕДНИМ, СПУСТЯ МЕСЯЦ  
@  
ВОЕННО ВОЗДУШНЫЕ ОДИН РАЗ СБРАСЫВАЛИ ЛИСТОВКИ С НЕДЕЛЬНОЙ СВОДКОЙ  
@  
ТАК ВЫ УЗНАЛИ, ЧТО ПОСЛЕДНИЕ ГОСУДАРСТВА ПАЛИ, ДОЛЬШЕ ВСЕГО ДЕРЖАЛАСЬ МОЛДОВА И ТУРКМЕНИСТАН  
@  
А МОЖЕТ И НЕ ОДИН, ПРОСТО ВАША МУХОСРАНЬ НИКОМУ НЕ НУЖНА  
@  
ТАК ВЫ ДУМАЛИ 2,5 МЕСЯЦА  
@  
ЗА ЭТО ВРЕМЯ ОБРАЗОВАЛСЯ НЕБОЛЬШОЙ АНАРХО-КОММУНИЗМ  
@  
ВСЕ С ДРУГ ДРУГОМ ДЕЛИЛИСЬ И ПОМОГАЛИ, ВМЕСТЕ ПАТРУЛИРОВАЛИ ПОСЕЛОК ДНЕМ И ЗАБИВАЛИСЬ В СВОИ ДОМА НА НОЧЬ ЗАКРЫВАЯ ОКНА ДОСКАМИ, А ДВЕРИ - ШКАФАМИ  
@  
НЕ ТО ЧТО БЫ ЭТО МОГЛО ВАС СПАСТИ ОТ РЕАЛЬНОЙ ОПАСНОСТИ НО ТАК БЫЛО СПОКОЙНЕЕ  
@  
ОДНАКО С ПРИБЛИЖЕНИЕМ ЗИМЫ, С СЕРЕДИНЫ НОЯБРЯ ВЫ НАЧАЛИ ЗАМЕЧАТЬ ИХ  
@  
ИХ БЫЛО МНОГО И ОНИ БЫЛИ РАЗНЫЕ  
@  
ОГРОМНЫЕ ЛИЧИНКИ, ЧЕЛОВЕКОПОДОБНЫЕ СОЗДАНИЯ НА 8 КОНЕЧНСТЯХ, ШАРЫ, ТУМАНЫ, СЛИЗЬ?  
@  
И ВСЕ НА ЮГ  
@  
НО ОНИ ВСЕ ПРОХОДИЛИ РЯДОМ С ВАМИ, ИХ БЫЛО ВИДНО ВДАЛИ, НА ГОРИЗОНТЕ, С ОДНОГО ИЗ ХОЛМОВ  
@  
ТРИ ДНЯ НАЗАД ОНИ ЗАШЛИ И К ВАМ  
@  
ТОГДА НЕ СТАЛО 7 ЛЮДЕЙ  
@  
ВЫ ПОТЕРЯЛИ ЕДИНСТВЕННЫЕ ДВЕ ВИНТОВКИ  
@  
ВПРОЧЕМ, ОТ НИХ НЕ БЫЛО ТОЛКА В ОБОРОНЕ, КАРАУЛ, СУДЯ ПО ЗВУКАМ, НЕ ВЫСТРЕЛЯЛ ДАЖЕ ПОЛОВИНУ  
@  
ОНИ ПРОДОЛЖАЮТ МИГРИРОВАТЬ  
@  
С КАЖДЫМ ДНЕМ НОВОЕ СТАДО ПРОХОДИТ ПО ДЕРЕВНЕ  
@  
ВСЕ ЗАПЕРЛИСЬ ПО ДОМАМ И НИКУДА НЕ ВЫХОДЯТ  
@  
ИНОГДА СЛЫШНЫ КРИКИ  
@  
И КТО ЗНАЕТ, ЧЕЙ ДОМ ОНИ ЗАДЕНУТ В СЛЕДУЮЩИЙ РАЗ...",бугурт про внезапный апокалипсис
"СОННЫЙ СРЕДЬ НОЧИ СИДИШЬ ЗА ПЕКАРНЕЙ  
@  
РЕШАЕШЬ ПОЙТИ СПАТЬ, ТАК КАК УТРОМ У ТЕБЯ УРОКИ ФЕКАЛЬНОЙ ЛЕПКИ КОСТРОМСКИХ ПЕТУШКОВ  
@  
ЛОЖИШЬСЯ НА КРОВАТЬ ПРЕДВКУШАЯ КАК ВЫРУБИШЬСЯ 0.0001 СЕКУНДУ  
@  
СПАТЬ НЕ ХОЧЕТСЯ","напиши мне бугурт про состояние когда ты очень хочешь спать, но когда ложишься уже не хочется"
"ПОЛУЧИЛ СПОСОБНОСТЬ К ТЕЛЕПОРТАЦИИ   
@  
ЧУТЬ-ЧУТЬ НЕ РАСЧИТАЛ И ВТЕЛЕПОРТИРОВАЛСЯ ВНУТРЬ СТЕНЫ  
@   
ПОЛУЧИЛ СПОСОБНОСТЬ К ПЕРЕМЕЩЕНИЮ ВО ВРЕМЕНИ И ПЕРЕМЕСТИЛСЯ НА МИЛЛИОН ЛЕТ НАЗАД  
@  
МИЛЛИОН ЛЕТ НАЗАД НА МЕСТЕ ГДЕ ТЫ СТОЯЛ БЫЛА ПРОПАСТЬ  
@   
ПОЛУЧИЛ СВЕРХСКОРОСТЬ   
@  
СПОТКНУЛСЯ И СЧИСТИЛ ЛИЦО ОБ АСФАЛЬТ НА СКОРОСТИ 300 КИЛОМЕТРОВ В ЧАС   
@  
ПОЛУЧИЛ СПОСОБНОСТЬ ЛЕТАТЬ  
@  
ОНА РАБОТАЕТ КАК ЛЮБОЕ МЫШЕЧНОЕ УСИЛИЕ, ТЫ ВЫДОХСЯ НА ВЫСОТЕ ДЕВЯТИЭТАЖКИ И УПАЛ  
@   
ПОЛУЧИЛ НЕВИДИМОСТЬ  
@  
ФОТОНЫ ПОЛНОСТЬЮ ПРОХОДЯТ СКВОЗЬ ТВОЁ ТЕЛО (И СЕТЧАТКУ ГЛАЗА) ПОЭТОМУ ТЫ САМ НИХРЕНА НЕ ВИДИШЬ  
@  
НАУЧИЛСЯ ОТКРЫВАТЬ ПОРТАЛЫ  
@   
ВО ВРЕМЯ ПРОХОЖДЕНИЯ ЧЕРЕЗ ПОРТАЛ ТОТ ЗАКРЫЛСЯ И ТЕБЯ РАЗРУБИЛО НАДВОЕ  
@   
ПОЛУЧИЛ СВЕРХСИЛУ   
@   
ПРИХЛОПНУЛ КОМАРА НА ЛБУ И ПРОБИЛ СЕБЕ ЧЕРЕП  
@   
ПОЛУЧИЛ НЕУЯЗВИМОСТЬ И БЕССМЕРТИЕ  
@  
УПАЛ В ЯМУ С ЦЕМЕНТОМ НА СТРОЙКЕ И ЧИЛЛИШЬ ТАМ УЖЕ ДВЕСТИ ЛЕТ  
@   
ПОЛУЧИЛ РЕГЕНЕРАЦИЮ  
@  
ТЕБЯ ПОСАДИЛИ В КЛЕТКУ В ПОДВАЛЕ ШАУРМЕЧНОЙ",напиши бугурт про суперспособности 
"ЗАКОНЧИЛ ВУЗ  
@  
В ДИПЛОМЕ 3-4  
@  
ПОЛОВИНА ЗАЧËТОВ, КУРСОВЫЕ И ДИПЛОМ КУПЛЕНЫ  
@  
РЕФЕРАТЫ СКАЧАНЫ ИЗ ИНТЕРНЕТА  
@  
АРРЯЯЯ, ЭТО НИКОМУ НЕ НАДО, ГЛАВНОЕ - ДИПЛОМ ПОЛУЧИТЬ  
@  
НА ПРАКТИКУ НЕ ХОДИЛ  
@  
НЕ ОСОБО ПОНИМАЕШЬ КТО ТЫ ПО ПРОФЕССИИ   
@  
ТАКИХ 2/3 ВЫПУСКА   
@  
АРРЯЯ, БЕЗ ВЫСШЫВА АБРАЗАВАНИЯ ТЫ НИКТО  
@  
ОЙ, А ПОЧЕМУ МЕНЯ БЕРУТ НА РАБОТУ ТОЛЬКО В ИМПОРТОЗАМЕЩËННЫЙ МАК   
@  
#БУГУРТ  
@  
ДЯДЯ БОЛЬЖЕДОР УСТРАИВАЕТ ПО БЛАТУ НА РАБОТУ ПО СПЕЦИАЛЬНОСТИ  
@  
#АНТИБУГУРТ  
@  
ЗАРПЛАТА КАК СО СТАЖЕМ 5 ЛЕТ  
@  
#ТОТАЛЬНЫЙАНТИБУГУРТ  
@  
НЕ СПРАВЛЯЕШЬСЯ  
@  
НЕ СПРАВЛЯЕШЬСЯ  
@  
ДЯДЯ БОЛЬЖЕДОР ШЛËТ НАХУЙ, ИБО ИЗ-ЗА ТВОИХ КОСЯКОВ НАХЛОБУЧИВАЮТ ЕГО  
@  
#ВСËТАКИБУГУРТ  
@  
НУ ХОТЬ В АРМИЮ НЕ ХОДИТЬ, Я ЖЕ НЕ ПТУШНИК И НЕ ОТЧИСЛЕННЫЙ  
@  
ЕХИДНЫЙ ВОЕНКОМАТ ТАК НЕ ДУМАЕТ   
@  
#ВСËТАКИБУГУРТ х2  
@  
ГОД ЧИСТИШЬ УНИТЫЗЫ ПОД ПРИСМОТРОМ ТОВАРИЩА ПРАПОРЩИКА  
@  
ПРИЕЗЖАЕШЬ ДОМОЙ  
@  
НА РАБОТУ ПО ПРЕЖНЕМУ НЕ БЕРУТ  
@  
#ВСËТАКИБУГУРТ х3  
@  
ПОЗВАЛИ НА СОБЕСЕДОВАНИЕ   
@  
ООО ""ЗАЛУПА""  
@  
ну эээ, холодные звонки, оплата в 2 раза меньше заявленного, возможен карьерный рост до начальника отдела, т. к. у вас высшее образование  
@  
СОГЛАШАЕШЬСЯ  
@  
ТЕМ ВРЕМЕНЕМ ЕРОХА, ЗАКОНЧИВШИЙ ПТУ НА ЗАВОДЕ ПОЛУЧАЕТ В 3 РАЗА БОЛЬШЕ ОБЕЩАНОЙ ТЕБЕ ЗАРПЛАТЫ  
#ВСËТАКИБУГУРТ х3",бугурт про высшее образование и как сложно найти работу
"АЛУКАРД В ВОЙНЕ С НЕЧИСТЬЮ  
@  
ТАИНСТВЕННОЕ И СКРЫТНОЕ СУЩЕСТВО, ВЕДЁТ СЕБЯ НАДМЕННО И ГОВОРИТ С ИЗДЁВКОЙ, РЕДКО ПОЯВЛЯЕТСЯ В КАДРЕ И РЕДКО ПОКАЗЫВАЕТ ГЛАЗА, КАК БУДТО ЧТО ТО СКРЫВАЯ ОТ ЗРИТЕЛЯ ЗА СВОИМИ ЖЁЛТЫМИ ОЧКАМИ  
@  
АЛУКАРД В ОВЕ  
@  
ПОЕХАВШИЙ КРОВОСОСУЩИЙ ШИЗ, КОТОРЫЙ УБИВАЕТ ВСЕХ БЕЗ РАЗБОРА И ПРИ УДОБНОМ СЛУЧАЕ УСТРАИВАЕТ РЕЗНЮ ВСЕГО И ВСЯ",
"КОРОЛЬ ИОГАНН ФОН ЕРОХЕНСДОРФ ОТДАЛ ВСЕ ГОСУДАРСТВЕННЫЕ ДЕЛА НА ОТКУП ПАРЛАМЕНТУ  
 @  
ЗАКАТЫВАЕТ ГРАНДИОЗНЫЕ ОХОТЫ, БАЛЫ  
@  
ТРАТИТ ОГРОМНЫЕ СРЕДСТВА НА ЛЮБОВНИЦ  
@  
АРМИЯ РАЗЛОЖИЛАСЬ ДОНЕЛЬЗЯ  
@  
ПОПЫ ОХРЕНЕЛИ ВКРАЙ  
@  
КАЗНА ПУСТА  
@  
ПОСЛЕ СМЕРТИ ЕРОХЕНСДОРФА СЧИТАЮТ ""ВЕЛИКИМ""  
@  
ТЫ-ПРИНЦ ФОН СЫЧИНШТЕЙН  
@  
ВЕШАЕШЬ ОХРЕНЕВШИХ ДВОРЯН  
@  
В ЭКОНОМИЧЕСКИХ ЦЕЛЯХ ВВОДИШЬ НОВЫЕ НАЛОГИ  
@  
ВОЗВРАЩАЕШЬ В АРМИЮ ДИСЦИПЛИНУ  
@  
ДРОЧИШЬ ОХРЕНЕВШУЮ ЦЕРКОВЬ В ХВОСТ И В ГРИВУ  
@  
КОРОЛЕВСТВО ПРОЦВЕТАЕТ  
@  
КАЗАЛОСЬ БЫ, #антибугурт  
@  
УМИРАЕШЬ  
@  
ПОТОМКИ СЧИТАЮТ КРОВАВЫМ ТИРАНОМ И СЫНОМ ДЬЯВОЛА, ТВОИМ ИМЕНЕМ ПУГАЮТ НЕПОСЛУШНЫХ ДЕТЕЙ",бугурт про то как в истории несправедливо дают титулы королям
"НАУЧИЛСЯ УМЕНЬШАТЬСЯ ДО РАЗМЕРОВ МУРАВЬЯ  
@   
НО НЕ УМЕНЬШАТЬ СВОЮ МАССУ, ТЕПЕРЬ ТЫ МУРАВЕЙ С МАССОЙ 70 КГ И НЕ МОЖЕШЬ СДВИНУТЬСЯ С МЕСТА   
@   
НАУЧИЛСЯ ПРЫГАТЬ НА ОГРОМНУЮ ВЫСОТУ   
@   
ПРИЗЕМЛЯТЬСЯ НЕ НАУЧИЛСЯ   
@   
НАУЧИЛСЯ ЗАМЕДЛЯТЬ/ОСТАНАВЛИВАТЬ ВРЕМЯ   
@   
ТЫ ТОЖЕ ЗАМЕДЛЯЕШЬСЯ/ОСТАНАВЛИВАЕШЬСЯ   
@   
ПОЛУЧИЛ РЕНТГЕНОВСКОЕ ЗРЕНИЕ  
@   
ТВОЯ СИСЯСТАЯ СОСЕДКА СЛЕГЛА ЧЕРЕЗ МЕСЯЦ С ЛУЧЕВОЙ БОЛЕЗНЬЮ   
@   
СТАЛ ТЕЛЕПАТОМ   
@   
ПОСТОЯННО СЛЫШИШЬ ШИЗОКАКОФОНИЮ ИЗ МЫСЛЕЙ ОКРУЖАЮЩИХ ЛЮДЕЙ   
@   
РЕШИЛ ПРЕВРАТИТЬ СЕБЯ В ЛЯГУШКУ С ПОМОЩЬЮ ЗАКЛИНАНИЯ   
@   
ТЕПЕРЬ НЕ МОЖЕШЬ ПРОИЗНЕСТИ ОБРАТНОЕ ЗАКЛИНАНИЕ   
@   
ПРИДЕЛАЛ СЕБЕ СВЕРХМОЩНЫЕ КИБЕРНЕТИЧЕСКИЕ РУКИ ДО ПЛЕЧ   
@   
ВСЮ ЖИЗНЬ ХАВАЕШЬ ПРЕПАРАТЫ ОТ ОТТОРЖЕНИЯ ТКАНЕЙ + ПРИ ПОПЫТКЕ ПОДНЯТЬ ТОННУ ВЫЛОМАЛ СЕБЕ ПЛЕЧЕВЫЕ КОСТИ   
@   
СТРЕЛЯЕШЬ ЛАЗЕРАМИ ИЗ ГЛАЗ   
@   
ТЫ КОСОГЛАЗЫЙ   
@   
НАУЧИЛСЯ ПОНИМАТЬ ЯЗЫК ЖИВОТНЫХ  
@   
НАД ТОБОЙ РЖУТ И ПРОСЯТ ДАТЬ ПОЖРАТЬ   
@   
ПОЛУЧИЛ СВЕРХИНТЕЛЛЕКТ   
@   
СПИЛСЯ С ГОРЯ ОТ УМА (+ТЫ СВЕРХДУШНИЛА)",напиши бугурт про суперспособности 
"ПРИХОДИШЬ НА РАБОТУ МОЛОДЫМ СПЕЦИАЛИСТОМ  
@  
НАЧАЛЬНИК ДОВОЛЬНО УРЧИТ ""МОЛОДЫМ ВЕЗДЕ У НАС ДОРОГА, У ТЕБЯ МОЗГИ СВЕЖИЕ, БУДЕШЬ НАС НОВОМУ УЧИТЬ""  
@  
ЧЕРЕЗ НЕКОТОРОЕ ВРЕМЯ ПРЕДЛАГАЕШЬ ДЕЛЬНОЕ ИЗМЕНЕНИЕ В ПРОЦЕССЕ РАБОТЫ  
@  
РЯЯЯ ЩЕНОК, ТЫ КОГО УЧИТЬ ВЗДУМАЛ?! Я УЖЕ КРАСНОЯРСКУЮ ГРЭС ПРОЕКТИРОВАЛ, ПОКА ТЫ В БАТИНЫХ ЯЙЦАХ СИДЕЛ!!!11",бугурт про то что предложения молодых никто не слушает
"СТОИШЬ В ОЧЕРЕДИ В КБ  
@  
ТВОИ ПОКУПКИ - ОДИН СНИКЕРС  
@  
ПЕРЕД ТОБОЙ В ОЧЕРЕДИ ВСЕГО ОДИН ЧЕЛОВЕК  
@  
ОДИН ЧЕЛОВЕК С КОРЗИНОЙ ТОВАРОВ НА 228 ПОЗИЦИЙ, КОТОРЫЕ КАЖЕТСЯ НИКОГДА НЕ ЗАКОНЧАТСЯ  
@  
КАССИР ПОЧТИ ЗАКОНЧИЛ ПРОБИВАТЬ  
@  
""ВСЁ?"" - СПРАШИВАЕТ КАССИР  
@  
(ТЫ УЖЕ ПРЕДВКУШАЕШЬ КАК ЗАКОНЧИТСЯ ЭТО ТОМНОЕ И ДУШНОЕ ОЖИДАНИЕ В ОЧЕРЕДИ И ТЫ НАКОНЕЦ-ТО ВЫЙДЕШЬ НА УЛИЦУ СО СВОИМ СНИКЕРСОМ)  
@  
""НЕТ НЕ ВСЁ"" - ПРОБУБНИЛ ЭТОТ ЖИРНЫЙ ПИДР ПЕРЕД ТОБОЙ  
@  
""ЕЩЕ РОТМАНС ПОЛУТОНКИЕ С КРАСНО-ЖЁЛТОЙ КНОПКОЙ""  
@  
\*КАССИР ЛЕЗЕТ ПОД СТОЛ И КОПОШИТСЯ МИНУТ 5, ПОСЛЕ ЧЕГО ВЫПОЛЗАЕТ И ГОВОРИТ ЧТО ТАКИХ НЕТ\*  
@  
ЕСТЬ ТАКИЕ ЖЕ НО С КРАСНО-ЗЕЛЁНОЙ КНОПКОЙ  
@  
""С КРАСНО-ЗЕЛЁНОЙ? НЕТ, НЕ НАДО""  
@  
""А СТИКИ НА АЙКОС ПОНОСНО-БЛЕВОТНОГО ЦВЕТА ЕСТЬ??""  
@  
\*КАССИР ЕЩЕ НА НЕСКОЛЬКО МИНУТ ПРОПАДАЕТ В ПОИСКАХ ЭТИХ СРАНЫХ СТИКОВ\*  
@  
""ОПЛАТА НАЛИЧКОЙ""  
@  
""А НЕТ НЕТ ОПЛАТА КАРТОЙ""  
@  
\*КАССИР ПЕРЕКЛЮЧАЕТ ОПЛАТУ ОБРАТНО НА КАРТУ\*  
@  
ОПЛАТА НЕ ПРОШЛА  
@  
НЕДОСТАТОЧНО СРЕДСТВ  
@  
""ЛАДНО ДАВАЙТЕ НАЛИЧКОЙ""  
@  
ДОСТАЁТ ПЯТИТЫСЯЧНУЮ НА КОТОРУЮ ЕСТЕСТВЕННО НЕТ РАЗМЕНА  
@  
ВЕСЬ ПЕРСОНАЛ МАГАЗИНА НАЧИНАЕТ ИСКАТЬ РАЗМЕН  
@  
ПОКА ОНИ ИЩУТ РАЗМЕН ТЫ СТОИШЬ С РАСТАЯВШИМ СНИКЕРСОМ В РУКЕ И МЕЧТАЕШЬ КАК БЫ ЕГО РАСЧЛЕНИЛИ И СБРОСИЛИ В МОЙКУ",бугурт про ситуацию когда перед тобой чел покупает много продуктов а у тебя всего один товар и ты ждешь его вечность
"ТИПИЧНЫЙ МАМКИН ОТРИЦАТЕЛЬ  
@  
ОРЁТ, ЧТО ОБРАЗОВАНИЕ НЕ ИМЕЕТ ЗНАЧЕНИЯ, БЕЗ НЕГО МОЖНО ДОБИТЬСЯ УСПЕХА  
@  
ПРИВОДИТ ПРИМЕРЫ УСПЕШНЫХ ЛЮДЕЙ БЕЗ ВЫШКИ  
@  
КОГДА ЕМУ ГОВОРЯТ, ЧТО У ЭТИХ ЛЮДЕЙ РОДИТЕЛИ БЫЛИ БИЗНЕСМЕНАМИ/УЧЕНЫМИ/ЧИНОВНИКАМИ, КОТОРЫЕ МОГЛИ ФИНАНСОВО ПОДДЕРЖИВАТЬ СВОИХ ТАЛАНТЛИВЫХ ДЕТЕЙ  
@  
И ЧТО СРЕДИ НИХ НЕТ НИ ОДНОГО ДАУНА, КАПЧУЮЩЕГО ДНЯМИ НАПРОЛЕТ И ИГРАЮЩЕГО В БЛ  
@  
ПРИКИДЫВАЕТСЯ СЛЕПОГЛУХИМ",бугурт про обычных людей которые говорят что образование не нужно
"НАЧАЛО НОВЕЛЛЫ  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@   
КЕТРИН  
@  
КОНЕЦ НОВЕЛЛЫ",бугурт про постоянно повторяющееся имя
